类型;类别ID;类别;名称;地址;城市;区县;经度;纬度;开放时间;图片
12;208;儿童之家;开欣社区妇女儿童活动中心;杭州市萧山区宁围街道开欣社区通惠北路与建设一路红路灯口雅棠轩小区1871-1873号;杭州市;萧山区;120.283943;30.193591;周一至周日8:30-17：00;/whyx20221018/99/7907.jpg
15;211;文化礼堂;文昌镇王家源村文化礼堂;杭州市淳安县文昌镇王家源村;杭州市;淳安县;119.230234;29.783364;09:00-17:00;/whyx20221018/99/14914.jpg
17;219;机房/广播站;机房;杭州市丁桥景园南苑24号;杭州市;钱塘区;120.233774;30.349645;不开放;/whyx20221018/98/7999.jpg
18;213;文化服务点/阅览室;公共数字文化服务点;杭州市西溪路618号2幢;杭州市;西湖区;120.0911273;30.2628683;nan;/whyx20221018/98/7962.jpg
16;212;文化家园;藕湖浜社区文化家园;杭州市萧山区城厢街道藕湖浜社区新桥园小区6幢;杭州市;萧山区;120.278089;30.156414;周一至周五8:30-11:00；13:30-16:30;/whyx20221018/98/7470.jpg
13;209;老年活动中心;月欣花苑老年活动室;杭州市临平区东湖街道月欣花苑小区;杭州市;临平区;120.277052;30.425447;周一至周日08:00-17:00;/whyx20221018/98/5168.jpg
3;200;文化活动室;余杭区文化馆;杭州市余杭区瓶窑镇花园路与崇北街交叉口;杭州市;余杭区;119.977467;30.375024;09:00-17:00;/whyx20221018/98/10698.jpg
16;212;文化家园;孔社区文化家园;杭州市萧山区临浦前孔社区文化家园;杭州市;萧山区;120.245622;30.048099;nan;/whyx20221018/97/8670.jpg
13;209;老年活动中心;叶家老年文化活动中心;建德市新安江街道叶家路145号;杭州市;建德市;119.265933;29.465173;全天开放;/whyx20221018/97/5796.jpg
16;212;文化家园;曲院社区文化家园;杭州市西湖区北山街道曲院社区白沙泉46-1号;杭州市;西湖区;120.134618;30.262446;周一至周五;/whyx20221018/96/7528.jpg
15;211;文化礼堂;青山湖街道安村村文化礼堂;浙江省杭州市临安区青山湖街道安村村沃山脚安置小区;杭州市;临安区;119.751827;30.3175;08:30-20:00;/whyx20221018/96/15268.jpg
1;198;农家书屋;三墩镇厨房斗社区图书室;杭州市西湖区同仁家园同仁会馆4楼;杭州市;西湖区;120.07768;30.326198;周一至周五08:30-11:30 14:00-17:00;/whyx20221018/96/11415.jpg
1;198;农家书屋;东新街道沁苑社区图书馆;杭州市拱墅区东新街道沁苑社区图书馆;杭州市;拱墅区;120.165426;30.294769;nan;/whyx20221018/95/8771.jpg
2;199;文博场馆;岗古村村史馆;杭州市桐庐县凤川街道岗古村落桐常线凤川小学东侧约100米;杭州市;桐庐县;119.778958;29.80831;周一至周日8:30-17:00;/whyx20221018/95/6210.jpg
3;200;文化活动室;刀茅巷社区文化服务中心;环东公寓3幢底层刀茅巷社区;杭州市;拱墅区;120.182;30.2706;9:00-17:00;/whyx20221018/95/6058.jpg
15;211;文化礼堂;大同镇潘村村文化礼堂;杭州市建德市大同镇潘村;杭州市;建德市;119.065596;29.318333;周一到周日09:00-17:00;/whyx20221018/95/16246.jpg
